A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,bin
5.38858681205357e-07,7.728210594658912e-07,7.308047842239977e-08,7.411510317060006e-08,4.984609040483002e-08,1.8025152493839954e-08,1.411635279690535e-08,4.6483285411519875e-08,1.7558371671900124e-08,3.131702352665993e-08,5.48560101459997e-07,7.930933559482277e-07,test
4.665132694733801e-07,1.827061138424719e-07,7.309168826869982e-08,7.413270986720008e-08,4.9845941407000105e-08,1.802554160432993e-08,1.4144605382663779e-08,4.648271057659996e-08,1.7558685454600042e-08,3.132198752054987e-08,4.716629228474215e-07,1.7923421882150377e-07,test
9.471767263666221e-07,6.276156027283721e-07,7.308253819189993e-08,7.409773509839992e-08,4.9845622988239944e-08,1.802527431124995e-08,1.3962100678758148e-08,4.649892121563003e-08,1.755588204179991e-08,3.1400452085969796e-08,1.2536053242731785e-06,6.353685015126244e-07,test
9.559229756738448e-07,2.2958423976254892e-07,7.309018309940001e-08,7.410654288210008e-08,4.984548059816985e-08,1.8025598222810087e-08,1.3959982048716982e-08,4.650081624832994e-08,1.755582756029981e-08,3.142663802479995e-08,1.3300263330950046e-06,2.2727290846102977e-07,test
9.393010531944615e-07,8.7842810783753e-07,7.307835727799985e-08,7.409258091769999e-08,4.984576807758995e-08,1.8025301172059772e-08,1.3965035870720966e-08,4.649787187361994e-08,1.755607483159996e-08,3.13839029254399e-08,1.2015106641516595e-06,9.278761386366182e-07,test
8.92793730520859e-07,6.41357139840469e-07,7.308166755130016e-08,7.409893075049988e-08,4.9845486073109925e-08,1.8025144607050114e-08,1.3978653589838759e-08,4.6496305641739944e-08,1.7556090818999767e-08,3.133774741032991e-08,1.0267449503195426e-06,6.498347348480636e-07,test
8.22624702792797e-07,9.813378683765957e-07,7.308230040499985e-08,7.409732330040011e-08,4.984694363243023e-08,1.8026790597359887e-08,1.4012493558382007e-08,4.649478534480004e-08,1.75577851905999e-08,3.1320205009180085e-08,8.910388352904458e-07,1.384372253794441e-06,test
2.8867859870424994e-07,9.70367128985407e-07,7.308212285239989e-08,7.413101567199975e-08,4.984740531236007e-08,1.8026314088009932e-08,1.4223031517202779e-08,4.647525924498992e-08,1.756095732859985e-08,3.1334118138189944e-08,2.8604982369309206e-07,1.2184412121323123e-06,test
6.546743429324489e-07,7.25405498464873e-07,7.308069748569997e-08,7.410937545160004e-08,4.984587582876986e-08,1.8025133166370066e-08,1.4069976108139993e-08,4.648741361035995e-08,1.7557583773499926e-08,3.131247250047e-08,6.7604178910089e-07,7.400425403320666e-07,test
7.334454685572461e-07,9.69792692264424e-07,7.307995500099993e-08,7.410110881119991e-08,4.9846583323249934e-08,1.8026051594289782e-08,1.4043712880561004e-08,4.6490765231549966e-08,1.755786510169985e-08,3.131323755493985e-08,7.691474229161454e-07,1.2129117763957787e-06,test
8.204518017717889e-07,2.2281097210900996e-07,7.308939308749993e-08,7.411157668169997e-08,4.984534632133994e-08,1.802532106874999e-08,1.4004652574295889e-08,4.649497038497993e-08,1.755641091109988e-08,3.131815914489995e-08,8.876836353136182e-07,2.203522762424276e-07,test
